"date","country","capital_city","GDP_2019","population_2019","population_density_2019","GINI_2019","child_mortality_2019","median_age_2018","life_exp_diff","confirmed_inf","recovered","deaths"
2021-05-23,El Salvador,San Salvador,23107097883.7659,6453550.0,306.71308397889834,38.8,13.3,27.7,19.51899999999999,72220,67510,2216
2021-05-23,Nigeria,Abuja,477161826016.253,200963603,217.54769920586122,,117.2,18.6,14.04,166019,156476,2067
2021-05-23,Kyrgyzstan,Bishkek,7214659365.66022,6456200.0,32.29714857428714,29.7,18.3,27.3,12.371000000000002,102511,95811,1751
2021-05-23,Kuwait,Kuwait,137580874017.114,4207077.0,236.1138736109552,,7.9,29.7,12.195999999999998,299215,285118,1734
2021-05-23,Syria,Damascus,,17070132,92.18129387622854,,21.5,23.5,14.811999999999998,24117,21549,1734
2021-05-23,United Arab Emirates,Abu Dhabi,404700030660.313,9770526.0,116.87232057416269,,7.5,38.4,20.761999999999993,556107,536050,1651
2021-05-23,Zimbabwe,Harare,17106030686.6511,14645473,37.479745724324836,50.3,54.6,20.5,4.260000000000005,38682,36453,1586
2021-05-23,Montenegro,Podgorica,5344094979.59219,622028.0,,,2.3,39.6,9.430000000000007,99248,96608,1574
2021-05-23,Yemen,Sanaa,,29161922,55.2342604097218,,58.4,,33.91,6658,3245,1307
2021-05-23,Zambia,Lusaka,29539096537.4914,17861034,23.731871945661677,,61.7,16.9,13.385999999999989,93201,91156,1268
2021-05-23,Estonia,Tallinn,1768017696.68141,1326898.0,29.338625157538637,,2.4,43.7,7.731000000000009,128592,120886,1240
2021-05-23,Cameroon,Yaound,39288422138.9406,25876387,54.425959423021105,,74.8,18.5,13.488,77733,35261,1239
2021-05-23,Sri Lanka,,87413378690.0398,21803000,332.31214753848496,,7.1,33.7,14.737000000000009,164201,128607,1210
2021-05-23,Malawi,Lilongwe,10000187803.7211,18628749,157.22586171972588,,41.6,16.8,24.054000000000002,34284,32462,1153
2021-05-23,Senegal,Dakar,24903136509.8013,16296362,82.83955022824087,,45.3,19.4,28.340000000000003,41090,39758,1132
2021-05-23,Finland,Helsinki [Helsingfors],272538565989.577,5521606.0,16.329107335610463,,2.4,42.8,11.828999999999994,91526,46000,932
2021-05-23,Jamaica,Kingston,14370403077.5455,2948277.0,268.2690627843494,,13.9,29.4,7.677999999999997,47959,23986,917
2021-05-23,Cuba,La Habana,77122848823.2443,11333484,102.23147905936263,,5.1,42.1,11.605000000000004,133053,125236,877
2021-05-23,Mozambique,Maputo,17877388230.135,30366043,37.88226275277885,,74.2,17.0,16.384000000000007,70590,69098,831
2021-05-23,Bahrain,al-Manama,34359547872.3404,1641164.0,2364.7896253602307,,6.9,32.9,18.373999999999995,218047,194885,820
2021-05-23,Luxembourg,Luxembourg [Luxemburg/L,68914273222.8934,620001.0,239.75290023201856,,2.8,39.5,12.101000000000013,69545,67162,810
2021-05-23,Madagascar,Antananarivo,13262059684.7229,26969306,45.94109440396838,,50.6,20.3,23.187999999999995,40876,39255,800
2021-05-23,Botswana,Gaborone,18654568969.5079,2303703.0,3.9600897323500592,,41.6,25.7,15.791000000000011,51620,48449,784
2021-05-23,Ghana,Accra,57193544870.3089,30417858,127.52054432720001,,46.2,21.4,14.948999999999998,93620,91581,783
2021-05-23,Norway,Oslo,492667994894.748,5347896.0,16.512120341981678,,2.4,39.5,8.257999999999996,122414,17998,781
2021-05-23,Thailand,Bangkok,452964209686.036,69625581,135.69196184091285,34.9,9.0,39.0,18.958000000000006,129500,26873,776
2021-05-23,Somalia,Mogadishu,,15442906,24.218201948696557,,117.0,18.5,16.938000000000002,14632,6685,767
2021-05-23,Namibia,Windhoek,14671023927.4313,2494524.0,3.026262538032639,,42.4,21.8,12.161000000000001,52946,49213,765
